"Rank #","Player/Team Name","Score"
1,"redpwn",9300
2,"pb1c_jar",9300
3,"crusaders of redpwn jr",9300
4,"voltara",9300
5,"YegSecCTF",9300
6,"UofTCTF",8800
7,"les amateurs",8800
8,"CyberTaskForce Zero",8800
9,"Cwiercglowki",8800
10,"idk jack",8500
11,"flocto mad fine fr",8300
12,"Five Boys Cry",8300
13,"idek",8300
14,"Srdnlen",8300
15,"View Source",8300
16,"BIT CRIMINALS",8300
17,"neyccds",8300
18,"CVHS_exe",8300
19,"8h037",8300
20,"Flamingeaux",8300
21,"Green Onions",8300
22,"vEvergarden",8300
23,"ASU Hacking Dub B)",8300
24,"JuJu",8300
25,"cybersec_std",8300
26,"r0b0ter",8300
27,"Cheetah615",8300
28,"Tsuchinoko",8300
29,"Phantom_Troupe",8300
30,"no guns in meetings",8300
31,"nullCon",8300
32,"Nightingale",8300
33,"nek0nyaa",8000
34,"Titan Crew",8000
35,"sl1th3r",8000
36,"robotabc773",8000
37,"EverythingIsCTF",8000
38,"zzgrzytctf",8000
39,"Ethics 'R Us",8000
40,"GSMST CyberDragons",8000
41,"21S6D",8000
42,"Phantom Troupe",8000
43,"Seekers",8000
44,"theF0X",8000
45,"class_3E",8000
46,"fs0c13ty",8000
47,"CyberSpace",7900
48,"thehackerscrew",7800
49,"zemotau",7800
50,"0x190",7700
51,"REDLINE",7700
52,"yonko",7700
53,"keymoon",7600
54,"orz",7500
55,"YEGYouthTech",7500
56,"Impastas",7500
57,"Titanturtles",7500
58,"amogus",7500
59,"phis1Ng__",7500
60,"Sector Z",7500
61,"Open Parenthesis Colon",7500
62,"CyberUCR",7500
63,"yandax",7500
64,"GabeG888",7500
65,"sebasak",7500
66,"Rythm",7500
67,"Cyber Cazzo e Palle",7500
68,"UltraCows",7500
69,"The Shadowy Council",7500
70,"Private User",7500
71,"Skeye2&chengr",7500
72,"UnmilkableGoats",7300
73,"chokladpojkarna",7300
74,"qauckers",7200
75,"dropouts",7200
76,"Huawei CEOs",7200
77,"necto",7200
78,"CryptoCrackers",7200
79,"Ghost in zshell",7200
80,"SwaTT",7200
81,"RadboudUniversity",7100
82,"minh27",7100
83,"R!SE",7100
84,"Yu_212",7100
85,"lolcads",7100
86,"Chinmay's Crypto Crusaders",7000
87,"whatever floats your boat",7000
88,"cstjean200c0",7000
89,"Permutation City",7000
90,"( A R S O N )",7000
91,"m4m4_b0lz",7000
92,"hiikunZ",6900
93,"CSW",6900
94,"auth_tolkien",6900
95,"Testcloud Team",6900
96,"Fl4g_C4s1l3",6900
97,"Billie Swag",6900
98,"D1AmbaR_Y1",6900
99,"stream gang",6800
100,"akatsuki_dot_zip",6800
